Date,Close,MIN.YEAR,Year,New.Year,Min,Min.Date,Max,Max.Date,New.Year
10/2/15,6.2,1/2/15,,,,,,,
10/5/15,6.355,1/2/15,,,,,,,
10/6/15,6.4375,1/2/15,,,,,,,
10/7/15,6.505,1/2/15,,,,,,,
10/8/15,6.5425,1/2/15,,,,,,,
10/9/15,6.5175,1/2/15,,,,,,,
10/12/15,6.5875,1/2/15,,,,,,,
10/13/15,6.6,1/2/15,,,,,,,
10/14/15,6.84,1/2/15,,,,,,,
10/15/15,6.8575,1/2/15,,,,,,,
10/16/15,6.965,1/2/15,,,,,,,
10/19/15,6.9525,1/2/15,,,,,,,
10/20/15,6.9425,1/2/15,,,,,,,
10/21/15,6.8525,1/2/15,,,,,,,
10/22/15,7.1,1/2/15,,,,,,,
10/23/15,7.1475,1/2/15,,,,,,,
10/26/15,7.115,1/2/15,,,,,,,
10/27/15,7.11,1/2/15,,,,,,,
10/28/15,7.1675,1/2/15,,,,,,,
10/29/15,6.92,1/2/15,,,,,,,
10/30/15,7.0925,1/2/15,,,,,,,
11/2/15,7.175,1/2/15,,,,,,,
11/3/15,7.125,1/2/15,,,,,,,
11/4/15,7.0075,1/2/15,,,,,,,
11/5/15,6.9275,1/2/15,,,,,,,
11/6/15,7.8875,1/2/15,,,,,,,
11/9/15,7.8525,1/2/15,,,,,,,
11/10/15,7.7025,1/2/15,,,,,,,
11/11/15,7.6275,1/2/15,,,,,,,
11/12/15,7.6,1/2/15,,,,,,,
11/13/15,7.45,1/2/15,,,,,,,
11/16/15,7.6,1/2/15,,,,,,,
11/17/15,7.6,1/2/15,,,,,,,
11/18/15,7.7575,1/2/15,,,,,,,
11/19/15,7.78,1/2/15,,,,,,,
11/20/15,7.8475,1/2/15,,,,,,,
11/23/15,7.73,1/2/15,,,,,,,
11/24/15,7.7925,1/2/15,,,,,,,
11/25/15,7.7825,1/2/15,,,,,,,
11/27/15,7.8475,1/2/15,,,,,,,
11/30/15,7.93,1/2/15,,,,,,,
12/1/15,8.1875,1/2/15,,,,,,,
12/2/15,8.125,1/2/15,,,,,,,
12/3/15,8.1075,1/2/15,,,,,,,
12/4/15,8.4375,1/2/15,,,,,,,
12/7/15,8.2775,1/2/15,,,,,,,
12/8/15,8.39,1/2/15,,,,,,,
12/9/15,8.1775,1/2/15,,,,,,,
12/10/15,8.245,1/2/15,,,,,,,
12/11/15,8.1225,1/2/15,,,,,,,
12/14/15,8.1425,1/2/15,,,,,,,
12/15/15,8.2425,1/2/15,,,,,,,
12/16/15,8.2925,1/2/15,,,,,,,
12/17/15,8.1675,1/2/15,,,,,,,
12/18/15,8.035,1/2/15,,,,,,,
12/21/15,8.225,1/2/15,,,,,,,
12/22/15,8.2325,1/2/15,,,,,,,
12/23/15,8.265,1/2/15,,,,,,,
12/24/15,8.2925,1/2/15,,,,,,,
12/28/15,8.285,1/2/15,,,,,,,
