Date,Close,MIN.YEAR,Year,New.Year,Min,Min.Date,Max,Max.Date
12/13/2016,5463.830078,1/4/2016,,,,,,
12/14/2016,5436.669922,1/4/2016,,,,,,
12/15/2016,5456.850098,1/4/2016,,,,,,
12/16/2016,5437.160156,1/4/2016,,,,,,
12/19/2016,5457.439941,1/4/2016,,,,,,
12/20/2016,5483.939941,1/4/2016,,,,,,
12/21/2016,5471.430176,1/4/2016,,,,,,
12/22/2016,5447.419922,1/4/2016,,,,,,
12/23/2016,5462.689941,1/4/2016,,,,,,
12/27/2016,5487.439941,1/4/2016,,,,,,
12/28/2016,5438.560059,1/4/2016,,,,,,
12/29/2016,5432.089844,1/4/2016,,,,,,
12/30/2016,5383.120117,1/4/2016,,,,,,
1/3/2017,5429.080078,1/3/2017,,,,,,
1/4/2017,5477,1/3/2017,,,,,,
1/5/2017,5487.939941,1/3/2017,,,,,,
1/6/2017,5521.060059,1/3/2017,,,,,,
1/9/2017,5531.819824,1/3/2017,,,,,,
1/10/2017,5551.819824,1/3/2017,,,,,,
1/11/2017,5563.649902,1/3/2017,,,,,,
1/12/2017,5547.490234,1/3/2017,,,,,,
1/13/2017,5574.120117,1/3/2017,,,,,,
1/17/2017,5538.72998,1/3/2017,,,,,,
1/18/2017,5555.649902,1/3/2017,,,,,,
1/19/2017,5540.080078,1/3/2017,,,,,,
1/20/2017,5555.330078,1/3/2017,,,,,,
1/23/2017,5552.939941,1/3/2017,,,,,,
1/24/2017,5600.959961,1/3/2017,,,,,,
1/25/2017,5656.339844,1/3/2017,,,,,,
1/26/2017,5655.180176,1/3/2017,,,,,,
1/27/2017,5660.779785,1/3/2017,,,,,,
1/30/2017,5613.709961,1/3/2017,,,,,,
1/31/2017,5614.790039,1/3/2017,,,,,,
2/1/2017,5642.649902,1/3/2017,,,,,,
2/2/2017,5636.200195,1/3/2017,,,,,,
2/3/2017,5666.77002,1/3/2017,,,,,,
2/6/2017,5663.549805,1/3/2017,,,,,,
2/7/2017,5674.220215,1/3/2017,,,,,,
2/8/2017,5682.450195,1/3/2017,,,,,,
2/9/2017,5715.180176,1/3/2017,,,,,,
2/10/2017,5734.129883,1/3/2017,,,,,,
2/13/2017,5763.959961,1/3/2017,,,,,,
2/14/2017,5782.569824,1/3/2017,,,,,,
2/15/2017,5819.439941,1/3/2017,,,,,,
2/16/2017,5814.899902,1/3/2017,,,,,,
2/17/2017,5838.580078,1/3/2017,,,,,,
2/21/2017,5865.950195,1/3/2017,,,,,,
2/22/2017,5860.629883,1/3/2017,,,,,,
2/23/2017,5835.509766,1/3/2017,,,,,,
2/24/2017,5845.310059,1/3/2017,,,,,,
2/27/2017,5861.899902,1/3/2017,,,,,,
2/28/2017,5825.439941,1/3/2017,,,,,,
3/1/2017,5904.029785,1/3/2017,,,,,,
3/2/2017,5861.220215,1/3/2017,,,,,,
3/3/2017,5870.75,1/3/2017,,,,,,
3/6/2017,5849.180176,1/3/2017,,,,,,
3/7/2017,5833.930176,1/3/2017,,,,,,
3/8/2017,5837.549805,1/3/2017,,,,,,
3/9/2017,5838.810059,1/3/2017,,,,,,
3/10/2017,5861.72998,1/3/2017,,,,,,
3/13/2017,5875.779785,1/3/2017,,,,,,
3/14/2017,5856.819824,1/3/2017,,,,,,
3/15/2017,5900.049805,1/3/2017,,,,,,
3/16/2017,5900.759766,1/3/2017,,,,,,
3/17/2017,5901,1/3/2017,,,,,,
3/20/2017,5901.529785,1/3/2017,,,,,,
3/21/2017,5793.830078,1/3/2017,,,,,,
3/22/2017,5821.640137,1/3/2017,,,,,,
3/23/2017,5817.689941,1/3/2017,,,,,,
3/24/2017,5828.740234,1/3/2017,,,,,,
3/27/2017,5840.370117,1/3/2017,,,,,,
3/28/2017,5875.140137,1/3/2017,,,,,,
3/29/2017,5897.549805,1/3/2017,,,,,,
3/30/2017,5914.339844,1/3/2017,,,,,,
3/31/2017,5911.740234,1/3/2017,,,,,,
4/3/2017,5894.680176,1/3/2017,,,,,,
4/4/2017,5898.609863,1/3/2017,,,,,,
4/5/2017,5864.47998,1/3/2017,,,,,,
4/6/2017,5878.950195,1/3/2017,,,,,,
4/7/2017,5877.810059,1/3/2017,,,,,,
4/10/2017,5880.930176,1/3/2017,,,,,,
4/11/2017,5866.77002,1/3/2017,,,,,,
4/12/2017,5836.160156,1/3/2017,,,,,,
4/13/2017,5805.149902,1/3/2017,,,,,,
4/17/2017,5856.790039,1/3/2017,,,,,,
4/18/2017,5849.470215,1/3/2017,,,,,,
4/19/2017,5863.029785,1/3/2017,,,,,,
4/20/2017,5916.779785,1/3/2017,,,,,,
4/21/2017,5910.52002,1/3/2017,,,,,,
4/24/2017,5983.819824,1/3/2017,,,,,,
4/25/2017,6025.490234,1/3/2017,,,,,,
4/26/2017,6025.22998,1/3/2017,,,,,,
4/27/2017,6048.939941,1/3/2017,,,,,,
4/28/2017,6047.609863,1/3/2017,,,,,,
5/1/2017,6091.600098,1/3/2017,,,,,,
5/2/2017,6095.370117,1/3/2017,,,,,,
5/3/2017,6072.549805,1/3/2017,,,,,,
5/4/2017,6075.339844,1/3/2017,,,,,,
5/5/2017,6100.759766,1/3/2017,,,,,,
5/8/2017,6102.660156,1/3/2017,,,,,,
5/9/2017,6120.589844,1/3/2017,,,,,,
5/10/2017,6129.140137,1/3/2017,,,,,,
5/11/2017,6115.959961,1/3/2017,,,,,,
5/12/2017,6121.22998,1/3/2017,,,,,,
5/15/2017,6149.669922,1/3/2017,,,,,,
5/16/2017,6169.870117,1/3/2017,,,,,,
5/17/2017,6011.240234,1/3/2017,,,,,,
5/18/2017,6055.129883,1/3/2017,,,,,,
5/19/2017,6083.700195,1/3/2017,,,,,,
5/22/2017,6133.620117,1/3/2017,,,,,,
5/23/2017,6138.709961,1/3/2017,,,,,,
5/24/2017,6163.02002,1/3/2017,,,,,,
5/25/2017,6205.259766,1/3/2017,,,,,,
5/26/2017,6210.189941,1/3/2017,,,,,,
5/30/2017,6203.189941,1/3/2017,,,,,,
5/31/2017,6198.52002,1/3/2017,,,,,,
6/1/2017,6246.830078,1/3/2017,,,,,,
6/2/2017,6305.799805,1/3/2017,,,,,,
6/5/2017,6295.680176,1/3/2017,,,,,,
6/6/2017,6275.060059,1/3/2017,,,,,,
6/7/2017,6297.379883,1/3/2017,,,,,,
6/8/2017,6321.759766,1/3/2017,,,,,,
6/9/2017,6207.919922,1/3/2017,,,,,,
6/12/2017,6175.459961,1/3/2017,,,,,,
6/13/2017,6220.370117,1/3/2017,,,,,,
6/14/2017,6194.890137,1/3/2017,,,,,,
6/15/2017,6165.5,1/3/2017,,,,,,
6/16/2017,6151.759766,1/3/2017,,,,,,
