Date,Close,MIN.YEAR,Year,New.Year,Min,Min.Date,Max,Max.Date
10/7/2020,0.344,1/2/2020,,,,,,
10/8/2020,0.326,1/2/2020,,,,,,
10/9/2020,0.336,1/2/2020,,,,,,
10/12/2020,0.339,1/2/2020,,,,,,
10/13/2020,0.302,1/2/2020,,,,,,
10/14/2020,0.302,1/2/2020,,,,,,
10/15/2020,0.314,1/2/2020,,,,,,
10/16/2020,0.319,1/2/2020,,,,,,
10/19/2020,0.33,1/2/2020,,,,,,
10/20/2020,0.343,1/2/2020,,,,,,
10/21/2020,0.351,1/2/2020,,,,,,
10/22/2020,0.375,1/2/2020,,,,,,
10/23/2020,0.37,1/2/2020,,,,,,
10/26/2020,0.349,1/2/2020,,,,,,
10/27/2020,0.335,1/2/2020,,,,,,
10/28/2020,0.333,1/2/2020,,,,,,
10/29/2020,0.372,1/2/2020,,,,,,
10/30/2020,0.381,1/2/2020,,,,,,
11/2/2020,0.377,1/2/2020,,,,,,
11/3/2020,0.393,1/2/2020,,,,,,
11/4/2020,0.323,1/2/2020,,,,,,
11/5/2020,0.335,1/2/2020,,,,,,
11/6/2020,0.363,1/2/2020,,,,,,
11/9/2020,0.447,1/2/2020,,,,,,
11/10/2020,0.46,1/2/2020,,,,,,
11/11/2020,0.454,1/2/2020,,,,,,
11/12/2020,0.396,1/2/2020,,,,,,
11/13/2020,0.403,1/2/2020,,,,,,
11/16/2020,0.408,1/2/2020,,,,,,
11/17/2020,0.386,1/2/2020,,,,,,
11/18/2020,0.399,1/2/2020,,,,,,
11/19/2020,0.386,1/2/2020,,,,,,
11/20/2020,0.376,1/2/2020,,,,,,
11/23/2020,0.388,1/2/2020,,,,,,
11/24/2020,0.397,1/2/2020,,,,,,
11/25/2020,0.389,1/2/2020,,,,,,
11/30/2020,0.362,1/2/2020,,,,,,
12/1/2020,0.427,1/2/2020,,,,,,
12/2/2020,0.423,1/2/2020,,,,,,
12/3/2020,0.405,1/2/2020,,,,,,
